FIRM,ASSETS TENDERS,FUEL TENDERS,EVENT TENDERS,TENANCY TENDERS,FOOD TENDERS,CONSTRUCTION TENDERS,ADVERTISEMENT TENDERS,SERVICES TENDERS,CONSUMABLES EDUCATION TENDERS,CONSUMABLES GENERAL TENDERS,CONSUMABLES HEALTH TENDERS,TRANSPORTATION TENDERS
COM_28827,0,0,0,0,9,0,0,3,0,7,4,0
COM_25595,0,0,1,0,0,0,26,14,0,2,0,0
COM_26985,0,0,1,0,0,0,8,15,0,0,0,0
COM_29142,1,0,0,0,0,1,14,15,44,0,0,0
COM_42698,2,0,0,0,147,2,0,15,0,37,0,0
COM_26036,2,3,0,0,0,0,0,3,0,0,0,0
COM_26848,14,0,0,0,0,0,0,3,1,5,16,0
COM_27430,19,0,1,0,0,0,0,29,0,3,0,0
COM_28915,1,0,1,0,0,27,0,48,0,0,0,0
COM_29165,7,0,0,1,0,30,0,43,0,0,0,0
COM_33154,6,0,0,4,0,38,0,54,0,2,0,0
COM_37056,2,0,18,1,0,7,0,44,1,0,0,0
COM_27113,4,5,0,0,0,0,0,0,0,0,0,0
COM_25302,6,0,4,0,14,4,0,64,4,136,1,0
COM_31075,47,0,3,0,1,2,0,28,3,67,0,0
COM_31105,0,0,2,0,31,1,0,21,3,54,1,0
COM_31120,21,0,7,0,51,4,2,21,10,71,0,0
COM_31802,35,0,8,0,56,1,3,44,14,65,0,0
COM_31983,98,0,1,0,1,0,0,39,4,43,0,0
COM_34193,1,0,2,0,1,0,1,39,3,55,0,0
COM_37075,42,0,23,0,29,0,0,35,3,15,0,0
COM_13607,0,0,0,0,0,0,0,5,0,0,0,0
COM_28172,1,5,0,0,0,0,0,0,0,0,0,0
COM_28293,0,7,0,0,0,0,0,0,0,0,0,0
COM_31115,0,5,0,0,0,0,0,0,0,0,0,0
COM_32045,1,6,0,0,0,0,0,0,0,0,0,0
COM_29747,14,0,0,0,71,3,0,8,0,13,0,0
COM_31891,38,0,1,0,98,1,1,27,4,56,0,0
COM_36724,0,0,0,0,0,24,0,17,0,0,0,0
COM_26176,3,0,0,0,90,0,0,26,1,16,0,0
COM_13474,0,0,0,0,0,0,0,6,0,0,0,0
COM_19022,0,0,0,0,0,0,0,7,0,0,0,0
COM_36731,0,0,0,0,0,1,0,14,0,3,0,0
COM_26249,19,0,2,0,37,4,0,37,6,38,2,0
COM_36680,0,0,1,0,112,4,0,30,1,28,0,0
COM_27272,17,0,1,2,1,19,0,46,0,0,0,0
COM_30073,15,0,3,3,0,0,0,59,0,0,0,0
COM_26962,22,0,0,0,0,0,0,3,0,16,59,0
COM_29908,16,0,0,0,2,0,0,23,0,14,2,0
COM_26851,12,0,0,0,0,0,0,19,0,0,0,0
COM_30410,3,0,0,0,0,0,0,1,0,6,47,0
COM_26250,8,0,1,3,0,27,0,42,0,1,0,0
COM_32212,0,0,2,0,0,1,0,78,0,0,0,0
COM_25993,15,0,0,0,0,0,0,35,0,0,0,1
COM_33990,0,0,0,0,0,0,0,25,0,0,0,0
COM_32533,9,0,1,0,66,2,0,23,4,36,1,0
COM_33650,18,0,2,0,77,6,2,34,19,63,0,0
COM_34199,8,0,1,0,84,0,0,25,1,16,0,0
COM_36527,3,0,0,0,14,2,0,5,1,5,0,0
COM_36998,0,0,0,0,0,19,0,7,0,0,0,0
COM_25606,0,7,0,0,0,0,0,0,0,0,0,0
COM_26483,8,0,1,0,77,0,0,4,1,7,0,0
COM_26667,3,0,0,0,0,3,4,4,66,1,0,0
COM_46679,0,0,0,0,0,0,0,1,9,0,0,0
COM_31899,11,0,6,0,0,5,0,33,0,19,0,0
COM_33770,32,1,2,0,50,10,0,35,11,36,0,0
COM_33724,12,0,1,0,0,0,0,5,0,23,41,0
COM_29294,3,0,0,0,0,20,0,17,0,0,0,0
COM_46955,19,0,0,0,0,0,0,64,0,1,0,0
COM_31239,13,0,0,1,0,0,0,17,0,0,0,0
COM_31765,15,0,0,1,1,0,0,45,0,0,0,0
COM_29785,4,0,0,0,0,12,0,36,0,0,0,0
COM_30696,3,0,1,1,0,0,0,36,0,0,0,1
COM_31718,0,0,0,0,0,16,0,23,0,0,0,0
COM_36702,1,1,1,0,0,78,0,53,0,0,0,0
COM_31418,0,0,2,0,1,0,28,54,2,1,0,0
COM_37082,8,0,2,2,0,0,0,2,0,7,1,0
COM_29755,7,0,0,0,1,3,0,42,0,1,0,0
COM_26632,1,0,0,0,18,0,0,8,0,6,0,0
COM_31231,36,0,0,0,63,0,0,32,3,37,1,0
COM_31323,1,1,2,0,36,0,0,9,1,10,0,0
COM_32001,35,0,3,0,74,1,2,24,15,30,0,0
COM_32084,43,0,4,0,62,0,0,29,9,38,0,0
COM_32816,24,0,2,0,88,0,0,41,2,60,0,0
COM_33883,33,1,6,0,76,1,3,36,11,38,0,0
COM_48018,17,0,2,0,18,1,0,14,4,15,0,0
